full_sample_id,timepoint,date,species,month,site,file.name,series,histo company,scale,units,sex,stage,length,width,total gametes,Notes,
AST-1069-TP0,TP0,2/25/21,Astrangia poculata,,,Image_01.vsi,14,PP,3.6547,microns,NA,,,,,,
AST-1042-TP2,TP2,4/2/21,Astrangia poculata,,,AST-1642-TP2.vsi,14,PP,3.6547,microns,NA,NA,0,0,0,,
AST-1461-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1461-TP2.vsi,14,PP,3.6547,microns,male,1,20.687,17.622,17,,
AST-1461-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1461-TP2.vsi,14,PP,3.6547,microns,male,1,26.719,15.68,17,,
AST-1461-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1461-TP2.vsi,14,PP,3.6547,microns,male,1,24.626,16.169,17,,
AST-1533-TP2,TP2,4/2/21,Astrangia poculata,,,AST-1533-TP2.vsi,14,PP,3.6547,microns,male,1,22.026,13.681,50,,
AST-1533-TP2,TP2,4/2/21,Astrangia poculata,,,AST-1533-TP2.vsi,14,PP,3.6547,microns,male,1,18.191,15.42,50,,
AST-1533-TP2,TP2,4/2/21,Astrangia poculata,,,AST-1533-TP2.vsi,14,PP,3.6547,microns,male,1,16.426,11.081,50,,
AST-1533-TP2,TP2,4/2/21,Astrangia poculata,,,AST-1533-TP2.vsi,14,PP,3.6547,microns,male,2,28.447,21.339,50,,
AST-1533-TP2,TP2,4/2/21,Astrangia poculata,,,AST-1533-TP2.vsi,14,PP,3.6547,microns,male,2,28.567,24.218,50,,
AST-1533-TP2,TP2,4/2/21,Astrangia poculata,,,AST-1533-TP2.vsi,14,PP,3.6547,microns,male,2,27.287,24.953,50,,
AST-2979-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2979_2.vsi,20,NOVA,3.6547,microns,NA,0,0,0,0,,
AST-1085-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1085-TP2.vsi14,,PP,3.6547,microns,female,1,12.728,10.046,50,,
AST-1085-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1085-TP2.vsi14,,PP,3.6547,microns,female,1,11.505,9.303,50,,
AST-1085-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1085-TP2.vsi14,,PP,3.6547,microns,female,1,11.544,11.08,50,,
AST-1576-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_1576_1.vsi,20,NOVA,3.6547,microns,NA,0,0,0,0,,
AST-2202-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2202.vsi,14,NOVA,7.3049,microns,male,1,12.454,7.553,6,,
AST-2202-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2202.vsi,14,NOVA,7.3049,microns,male,1,11.515,8.355,6,,
AST-2202-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2202.vsi,14,NOVA,7.3049,microns,male,1,13.67,9.722,6,,
AST-2757-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2757_1.vsi,14,NOVA,3.6547,microns,female,2,33.594,17.047,50,,
AST-2757-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2757_1.vsi,14,NOVA,3.6547,microns,female,2,39.44,28.478,50,,
AST-2757-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2757_1.vsi,14,NOVA,3.6547,microns,female,2,34.536,28.473,50,,
AST-2757-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2757_1.vsi,14,NOVA,3.6547,microns,female,3,67.785,55.197,50,,
AST-2757-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2757_1.vsi,14,NOVA,3.6547,microns,female,3,75.353,46.046,50,,
AST-2757-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2757_1.vsi,14,NOVA,3.6547,microns,female,3,66.67,58.711,50,,
AST-1311-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1311-TP2.vsi,14,PP,3.6547,microns,female,1,11.03,7.84,50,,
AST-1311-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1311-TP2.vsi,14,PP,3.6547,microns,female,1,13.632,9.85,50,,
AST-1311-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1311-TP2.vsi,14,PP,3.6547,microns,female,1,9.307,8.213,50,,
AST-1311-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1311-TP2.vsi,14,PP,3.6547,microns,female,2,27.087,15.49,50,,
AST-1311-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1311-TP2.vsi,14,PP,3.6547,microns,female,2,36.383,23.987,50,,
AST-1311-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1311-TP2.vsi,14,PP,3.6547,microns,female,2,31.722,18.289,50,,
AST-1053-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1053-TP2.vsi,14,PP,3.6547,microns,female,1,18.718,16.325,50,,
AST-1053-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1053-TP2.vsi,14,PP,3.6547,microns,female,1,18.83,12.297,50,,
AST-1053-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1053-TP2.vsi,14,PP,3.6547,microns,female,1,14.735,11.08,50,,
AST-1053-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1053-TP2.vsi,14,PP,3.6547,microns,female,2,41.43,24.159,50,,
AST-1053-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1053-TP2.vsi,14,PP,3.6547,microns,female,2,47.074,25.72,50,,
AST-1053-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1053-TP2.vsi,14,PP,3.6547,microns,female,2,41.765,29.009,50,,
AST-1489-TP2,TP2,4/2/21,Astrangia poculata,,,AST-1489-TP2.vsi,14,PP,3.6547,microns,male,1,28.791,14.489,36,In Jill's notebook and slide data,
AST-1489-TP2,TP2,4/2/21,Astrangia poculata,,,AST-1489-TP2.vsi,14,PP,3.6547,microns,male,1,21.251,15.136,36,,
AST-1489-TP2,TP2,4/2/21,Astrangia poculata,,,AST-1489-TP2.vsi,14,PP,3.6547,microns,male,1,23.01,17.175,36,,
AST-1489-TP2,TP2,4/2/21,Astrangia poculata,,,AST-1489-TP2.vsi,14,PP,3.6547,microns,male,2,40.381,33.089,36,,
AST-1489-TP2,TP2,4/2/21,Astrangia poculata,,,AST-1489-TP2.vsi,14,PP,3.6547,microns,male,2,30.84,28.171,36,,
AST-1489-TP2,TP2,4/2/21,Astrangia poculata,,,AST-1489-TP2.vsi,14,PP,3.6547,microns,male,2,33.435,25.958,36,,
AST-1225-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1225-TP2.vsi,14,PP,3.6547,microns,male,1,25.657,18.671,50,,
AST-1225-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1225-TP2.vsi,14,PP,3.6547,microns,male,1,28.671,18.736,50,,
AST-1225-TP2,TP2,4/2/21,Astrangia poculata,,FW,AST-1225-TP2.vsi,14,PP,3.6547,microns,male,1,26.28,19.989,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,1,14.563,9.482,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,1,10.179,7.008,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,1,9.986,6.657,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,2,25.528,14.335,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,2,24.746,12.775,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,2,28.183,17.095,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,3,64.138,36.708,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,3,52.031,31.196,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,3,41.032,21.904,50,,
AST-1197-TP2,TP2,4/2/21,Astrangia poculata,,,Image_02.vsi,14,PP,3.6547,microns,male,1,23.538,11.641,50,,
AST-1197-TP2,TP2,4/2/21,Astrangia poculata,,,Image_02.vsi,14,PP,3.6547,microns,male,1,14.125,11.794,50,,
AST-1197-TP2,TP2,4/2/21,Astrangia poculata,,,Image_02.vsi,14,PP,3.6547,microns,male,1,18.848,10.904,50,,
AST-2384-TP2,TP2,4/2/21,Astrangia poculata,,FW,Image_AST_2384_1.vsi,14,NOVA,3.6547,microns,male,1,16.592,8.846,17,,
AST-2384-TP2,TP2,4/2/21,Astrangia poculata,,FW,Image_AST_2384_1.vsi,14,NOVA,3.6547,microns,male,1,12.052,12.021,17,,
AST-2384-TP2,TP2,4/2/21,Astrangia poculata,,FW,Image_AST_2384_1.vsi,14,NOVA,3.6547,microns,male,1,12.771,9.324,17,,
AST-2384-TP2,TP2,4/2/21,Astrangia poculata,,FW,Image_AST_2384_1.vsi,14,NOVA,3.6547,microns,male,2,26.352,9.101,17,,
AST-2384-TP2,TP2,4/2/21,Astrangia poculata,,FW,Image_AST_2384_1.vsi,14,NOVA,3.6547,microns,male,2,25.477,19.289,17,,
AST-2384-TP2,TP2,4/2/21,Astrangia poculata,,FW,Image_AST_2384_1.vsi,14,NOVA,3.6547,microns,male,2,24.261,18.077,17,,
AST-1448-TP2,TP2,4/2/21,Astrangia poculata,,FW,A-AST-1448.vsi,14,PP,3.6547,microns,female,1,16.095,8.841,50,Missing AST-1448 from slide data,
AST-1448-TP2,TP2,4/2/21,Astrangia poculata,,FW,A-AST-1448.vsi,14,PP,3.6547,microns,female,1,14.447,12.491,50,,
AST-1448-TP2,TP2,4/2/21,Astrangia poculata,,FW,A-AST-1448.vsi,14,PP,3.6547,microns,female,1,12.052,1.838,50,,
AST-1448-TP2,TP2,4/2/21,Astrangia poculata,,FW,A-AST-1448.vsi,14,PP,3.6547,microns,female,2,32.948,23.578,50,,
AST-1448-TP2,TP2,4/2/21,Astrangia poculata,,FW,A-AST-1448.vsi,14,PP,3.6547,microns,female,2,26.494,17.175,50,,
AST-1448-TP2,TP2,4/2/21,Astrangia poculata,,FW,A-AST-1448.vsi,14,PP,3.6547,microns,female,2,30.217,16.16,50,,
AST-1430-TP4,TP4,,Astrangia poculata,,,,,,,,,,,,,,
AST-1557-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1557_1.vsi,20,NOVA,3.6547,microns,male,2,31.589,24.518,6,,
AST-1557-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1557_1.vsi,20,NOVA,3.6547,microns,male,2,25.829,16.023,6,,
AST-1557-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1557_1.vsi,20,NOVA,3.6547,microns,male,2,26.671,21.06,6,,
AST-1483-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1483-TP4.vsi,14,PP,3.6547,microns,male,2,20.688,14.594,50,,
AST-1483-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1483-TP4.vsi,14,PP,3.6547,microns,male,2,16.528,12.979,50,,
AST-1483-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1483-TP4.vsi,14,PP,3.6547,microns,male,2,11.534,9.108,50,,
AST-1483-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1483-TP4.vsi,14,PP,3.6547,microns,male,3,62.687,36.134,50,,
AST-1483-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1483-TP4.vsi,14,PP,3.6547,microns,male,3,57.736,47.597,50,,
AST-1483-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1483-TP4.vsi,14,PP,3.6547,microns,male,3,67.664,38.589,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,1,13.261,11.433,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,1,15.575,14.17,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,1,14.775,12.313,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,2,32.348,19.769,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,2,25.46,16.437,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,2,24.965,21.576,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,3,75.843,50.079,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,3,70.124,30.383,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,3,70.08,53.513,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,4,97.761,58.695,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,4,92.771,49.748,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,4,89.69,66.083,50,,
AST-1554-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1537_1.vsi,20,NOVA,3.6547,microns,NA,0,0,0,0,"Previous name was AST-1559-TP4, wasn't scanned",
AST-1440-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1440_2.vsi,20,NOVA,3.6547,microns,NA,0,0,0,0,,
AST-1238-TP4,TP4,5/28/21,Astrangia poculata,,FW,A-AST-1238-TP4.vsi,14,PP,3.6547,microns,male,2,40.629,22.135,50,,
AST-1238-TP4,TP4,5/28/21,Astrangia poculata,,FW,A-AST-1238-TP4.vsi,14,PP,3.6547,microns,male,2,47.983,28.645,50,,
AST-1238-TP4,TP4,5/28/21,Astrangia poculata,,FW,A-AST-1238-TP4.vsi,14,PP,3.6547,microns,male,2,48.861,24.743,50,,
AST-1238-TP4,TP4,5/28/21,Astrangia poculata,,FW,A-AST-1238-TP4.vsi,14,PP,3.6547,microns,male,3,93.108,72.004,50,,
AST-1238-TP4,TP4,5/28/21,Astrangia poculata,,FW,A-AST-1238-TP4.vsi,14,PP,3.6547,microns,male,3,93.288,58.593,50,,
AST-1238-TP4,TP4,5/28/21,Astrangia poculata,,FW,A-AST-1238-TP4.vsi,14,PP,3.6547,microns,male,3,91.787,41.648,50,,
AST-1621-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1621-TP4.vsi,14,PP,3.6547,microns,female,2,17.692,8.451,36,,
AST-1621-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1621-TP4.vsi,14,PP,3.6547,microns,female,2,21.052,9.945,36,,
AST-1621-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1621-TP4.vsi,14,PP,3.6547,microns,female,3,49.775,33.982,36,,
AST-1621-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1621-TP4.vsi,14,PP,3.6547,microns,female,3,39.708,23.477,36,,
AST-1621-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1621-TP4.vsi,14,PP,3.6547,microns,female,3,46.759,20.811,36,,
AST-1621-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1621-TP4.vsi,14,PP,3.6547,microns,female,4,68.914,56.693,36,,
AST-1621-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1621-TP4.vsi,14,PP,3.6547,microns,female,4,71.217,44.889,36,,
AST-2075-TP4,TP4,5/28/21,Astrangia poculata,,FW,Image_AST_2075_2.vsi,20,NOVA,3.6547,microns,NA,0,0,0,0,,
AST-1110-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1110.vsi,14,NOVA,7.3049,microns,NA,0,0,0,0,,
AST-2976-TP4,TP4,,Astrangia poculata,,,,,,,,,,,,,Wasn't scanned,
AST-1205-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1205-TP4.vsi,14,PP,3.6547,microns,female,1,9.865,7.991,8,,
AST-1205-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1205-TP4.vsi,14,PP,3.6547,microns,female,1,7.968,6.731,8,,
AST-1205-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1205-TP4.vsi,14,PP,3.6547,microns,female,1,9.911,8.227,8,,
AST-1122-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1122-TP4.vsi,14,PP,3.6547,microns,male,1,23.475,16.069,50,,
AST-1122-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1122-TP4.vsi,14,PP,3.6547,microns,male,1,24.142,12.362,50,,
AST-1122-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1122-TP4.vsi,14,PP,3.6547,microns,male,1,18.365,12.533,50,,
AST-1122-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1122-TP4.vsi,14,PP,3.6547,microns,male,2,32.256,29.332,50,,
AST-1122-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1122-TP4.vsi,14,PP,3.6547,microns,male,2,34.525,22.922,50,,
AST-1122-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1122-TP4.vsi,14,PP,3.6547,microns,male,2,38.727,25.085,50,,
AST-1122-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1122-TP4.vsi,14,PP,3.6547,microns,male,3,63.879,49.916,50,,
AST-1122-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1122-TP4.vsi,14,PP,3.6547,microns,male,3,46.519,39.499,50,,
AST-1122-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1122-TP4.vsi,14,PP,3.6547,microns,male,3,84.75,41.301,50,,
AST-1470-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1470-TP4.vsi,37,PP,3.6547,microns,male,3,70.009,48.678,50,,
AST-1470-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1470-TP4.vsi,37,PP,3.6547,microns,male,3,105.715,39.838,50,,
AST-1470-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1470-TP4.vsi,37,PP,3.6547,microns,male,3,84.932,29.499,50,,
AST-1470-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1470-TP4.vsi,37,PP,3.6547,microns,male,4,111.545,50.229,50,,
AST-1470-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1470-TP4.vsi,37,PP,3.6547,microns,male,4,111.802,28.143,50,,
AST-1470-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1470-TP4.vsi,37,PP,3.6547,microns,male,4,121.018,45.732,50,,
AST-1470-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1470-TP4.vsi,37,PP,3.6547,microns,male,5,109.77,85.587,50,,
AST-1470-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1470-TP4.vsi,37,PP,3.6547,microns,male,5,123.952,41.449,50,,
AST-1470-TP4,TP4,5/28/21,Astrangia poculata,,,AST-1470-TP4.vsi,37,PP,3.6547,microns,male,5,112.365,86.982,50,,
AST-2730,,,Astrangia poculata,,,,,,,,,,,,,Missing but in Jill notebook 2730,
AST-1071-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1071_1.vsi,20,NOVA,3.6524,microns,female,3,45.663,34.866,4,Missing but in Jill Notebook 1071,
AST-1071-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1071_1.vsi,20,NOVA,3.6524,microns,female,3,44.147,43.256,4,,
AST-1071-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1071_1.vsi,20,NOVA,3.6524,microns,female,3,47.119,36.977,4,,
AST-1170-TP6,TP6,7/23/21,Astrangia poculata,Juy,FW,Image_AST_1170_1.vsi,20,NOVA,3.6524,microns,NA,0,0,0,0,,
AST-2552-TP6,TP6,7/23/21,Astrangia poculata,July,,Image_AST_2552.vsi,20,NOVA,7.3049,microns,NA,0,0,0,0,,
AST-1191-TP6,TP6,7/23/21,Astrangia poculata,,FW,AST-1191-TP7,14,PP,3.6524,microns,NA,0,0,0,0,,
AST-1466-TP6,TP6,7/23/21,Astrangia poculata,,FW,Image_AST_1466_1.vsi,20,NOVA,3.6524,microns,NA,0,0,0,0,,
AST-1541-TP6,TP6,7/23/21,Astrangia poculata,July,FW,Image_AST_1541_2.vsi,20,NOVA,3.6524,microns,NA,0,0,0,0,,
AST-1636-TP6,TP6,7/23/21,Astrangia poculata,July,FW,Image_AST_1636.vsi,14,NOVA,7.3049,microns,female,4,134.008,60.751,50,,
AST-1636-TP6,TP6,7/23/21,Astrangia poculata,July,FW,Image_AST_1636.vsi,14,NOVA,7.3049,microns,female,4,99.648,47.337,50,,
AST-1636-TP6,TP6,7/23/21,Astrangia poculata,July,FW,Image_AST_1636.vsi,14,NOVA,7.3049,microns,female,4,137.482,38.029,50,,
AST-2566-TP6,TP6,7/23/21,Astrangia poculata,July,FW,Image_AST_2566_2.vsi,20,NOVA,3.6524,microns,NA,0,0,0,0,,
AST-1187-TP6,TP6,7/23/21,Astrangia poculata,,FW,AST-1187-TP6.vsi,14,PP,3.6524,microns,female,3,58.102,35.491,1,,
AST-1141-TP7,TP7,8/25/21,Astrangia poculata,August,ENDV,Image_AST_1141_2.vsi,20,NOVA,3.6525,microns,NA,0,0,0,0,Exists on tank data and in boxes,
AST-1204-TP7,TP7,8/25/21,Astrangia poculata,August,ENDV,Image_AST_1204_1.vsi,20,NOVA,3.6525,microns,NA,0,0,0,0,,
AST-2279-TP7,TP7,,Astrangia poculata,,,,,,,,,,,,,,
AST-1242-TP7,TP7,8/25/21,Astrangia poculata,,ENDV,Image_AST_2372_2.vsi,20,NOVA,3.6525,microns,NA,0,0,0,0,,
AST-2372-TP7,TP7,8/25/21,Astrangia poculata,August,ENDV,Image_AST_2372.vsi,20,NOVA,7.3049,microns,NA,0,0,0,0,,
AST-1043-TP7,TP7,8/25/21,Astrangia poculata,,ENDV,A-AST-1043-TP7.vsi,14,PP,3.6525,microns,NA,0,0,0,0,,
